,,,,,,,,Cant:,94,26,,324,14,89,233,121,0,349,0,80,0,26,22,0,10,8,27,,,10,12,5,0,4,,,,,FALSE
575,BAVE-497,BALANCIN DE APOYO VERTICAL (LBD),VERIFICAR,Ajuste de tornillería (Verificar marcas),Actividad,TRUE,MEDIA,MECANICO,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Inspeccion Trimestal,,,
576,BAVE-498,BALANCIN DE APOYO VERTICAL (LBD),EJECUTAR,Desarmado del conjunto de balancín. Controlar y mantener los conjuntos de poleas con báscula según las instrucciones del manual.,Actividad,TRUE,ALTA,MECANICO,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,OVH Estructura,,,
577,BAVE-499,BALANCIN DE APOYO VERTICAL (LBD),VERIFICAR,"Balancín y eje visualmente en cuanto a daños, fisuras, desgaste y corrosión",Actividad,TRUE,ALTA,MECANICO,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,OVH Estructura,,,
578,BAVE-500,BALANCIN DE APOYO VERTICAL (LBD),VERIFICAR,Desgaste y/o reemplazo de los casquillos de balancín.,Actividad,TRUE,ALTA,MECANICO,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,OVH Estructura,,,
70,BAPH,BALANCIN APOYO HORIZONTAL (LBD),,,Plan,,,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,,
579,BAPH-503,BALANCIN APOYO HORIZONTAL (LBD),VERIFICAR,Ausencia de ruidos y vibraciones anormales en rodamientos y soporte.,Actividad,FALSE,MEDIA,MECANICO,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Inspeccion Semanal,,,
580,BAPH-504,BALANCIN APOYO HORIZONTAL (LBD),LIMPIAR,Excedente de lubricante si lo hubiera.,Actividad,TRUE,MEDIA,MECANICO,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Inspeccion Semanal,,,
582,BAPH-501,BALANCIN APOYO HORIZONTAL (LBD),VERIFICAR,Visualmente la alineación de las poleas respecto al cable.,Actividad,TRUE,MEDIA,MECANICO,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Verificacion de poleas de estacion,,,
583,BAPH-502,BALANCIN APOYO HORIZONTAL (LBD),VERIFICAR,Estado y desgaste de los bandajes (utilizar la plantilla o instrumento de mendida destinado para este fin).,Actividad,TRUE,MEDIA,MECANICO,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Inspeccion Mensual,,,
584,BAPH-507,BALANCIN APOYO HORIZONTAL (LBD),LUBRICAR,Engrase a los cojinetes de los balancines a travez de las boquillas de engrase.,Actividad,TRUE,ALTA,MECANICO,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Inspeccion Trimestal,,,
585,BAPH-508,BALANCIN APOYO HORIZONTAL (LBD),LIMPIAR,Conjunto del balancín,Actividad,TRUE,BAJA,MECANICO,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Inspeccion Trimestal,,,
586,BAPH-509,BALANCIN APOYO HORIZONTAL (LBD),VERIFICAR,Ajuste de tornillería (Verificar marcas),Actividad,TRUE,MEDIA,MECANICO,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Inspeccion Trimestal,,,
587,BAPH-510,BALANCIN APOYO HORIZONTAL (LBD),EJECUTAR,Desarmado del conjunto de balancín. Controlar y mantener los conjuntos de poleas con báscula según las instrucciones del manual.,Actividad,TRUE,ALTA,MECANICO,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,OVH Estructura,,,
588,BAPH-511,BALANCIN APOYO HORIZONTAL (LBD),VERIFICAR,"Balancín y eje visualmente en cuanto a daños, fisuras, desgaste y corrosión",Actividad,TRUE,ALTA,MECANICO,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,OVH Estructura,,,
589,BAPH-512,BALANCIN APOYO HORIZONTAL (LBD),VERIFICAR,Desgaste y/o reemplazo de los casquillos de balancín.,Actividad,TRUE,ALTA,MECANICO,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,OVH Estructura,,,
71,BCOV,BALANCIN COMPRESIÓN VERTICAL (LBD),,,Plan,,,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,,
590,BCOV-515,BALANCIN COMPRESIÓN VERTICAL (LBD),VERIFICAR,Ausencia de ruidos y vibraciones anormales en rodamientos y soporte.,Actividad,FALSE,MEDIA,MECANICO,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Inspeccion Semanal,,,
591,BCOV-516,BALANCIN COMPRESIÓN VERTICAL (LBD),LIMPIAR,Excedente de lubricante si lo hubiera.,Actividad,TRUE,MEDIA,MECANICO,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Inspeccion Semanal,,,
592,BCOV-513,BALANCIN COMPRESIÓN VERTICAL (LBD),VERIFICAR,Visualmente la alineación de las poleas respecto al cable.,Actividad,TRUE,MEDIA,MECANICO,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Verificacion de poleas de estacion,,,
593,BCOV-514,BALANCIN COMPRESIÓN VERTICAL (LBD),VERIFICAR,Estado y desgaste de los bandajes (utilizar la plantilla o instrumento de mendida destinado para este fin).,Actividad,TRUE,MEDIA,MECANICO,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Inspeccion Mensual,,,
594,BCOV-518,BALANCIN COMPRESIÓN VERTICAL (LBD),LUBRICAR,Engrase a los cojinetes de los balancines a travez de las boquillas de engrase.,Actividad,TRUE,ALTA,MECANICO,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Inspeccion Trimestal,,,
595,BCOV-519,BALANCIN COMPRESIÓN VERTICAL (LBD),LIMPIAR,Conjunto del balancín,Actividad,TRUE,BAJA,MECANICO,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Inspeccion Trimestal,,,
596,BCOV-520,BALANCIN COMPRESIÓN VERTICAL (LBD),VERIFICAR,Ajuste de tornillería,Actividad,TRUE,MEDIA,MECANICO,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Inspeccion Trimestal,,,
597,BCOV-521,BALANCIN COMPRESIÓN VERTICAL (LBD),EJECUTAR,Desarmado del conjunto de balancín. Controlar y mantener los conjuntos de poleas con báscula según las instrucciones del manual.,Actividad,TRUE,ALTA,MECANICO,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Inspeccion bianual,,,
598,BCOV-522,BALANCIN COMPRESIÓN VERTICAL (LBD),VERIFICAR,"Balancín y eje visualmente en cuanto a daños, fisuras, desgaste y corrosión",Actividad,TRUE,ALTA,MECANICO,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Inspeccion bianual,,,
599,BCOV-523,BALANCIN COMPRESIÓN VERTICAL (LBD),VERIFICAR,Desgaste y/o reemplazo de los casquillos de balancín.,Actividad,TRUE,ALTA,MECANICO,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Inspeccion bianual,,,
72,BSOV,BALANCIN DE SOPORTE VERTICAL (LBD),,,Plan,,,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,,
600,BSOV-526,BALANCIN DE SOPORTE VERTICAL (LBD),VERIFICAR,Ausencia de ruidos y vibraciones anormales en rodamientos y soporte.,Actividad,FALSE,MEDIA,MECANICO,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Inspeccion Semanal,,,
601,BSOV-527,BALANCIN DE SOPORTE VERTICAL (LBD),LIMPIAR,Excedente de lubricante si lo hubiera.,Actividad,TRUE,MEDIA,MECANICO,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Inspeccion Semanal,,,
602,BSOV-524,BALANCIN DE SOPORTE VERTICAL (LBD),VERIFICAR,Visualmente la alineación de las poleas respecto al cable.,Actividad,TRUE,MEDIA,MECANICO,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Verificacion de poleas de estacion,,,
603,BSOV-525,BALANCIN DE SOPORTE VERTICAL (LBD),VERIFICAR,Estado y desgaste de los bandajes (utilizar la plantilla o instrumento de mendida destinado para este fin).,Actividad,TRUE,MEDIA,MECANICO,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Inspeccion Mensual,,,
604,BSOV-529,BALANCIN DE SOPORTE VERTICAL (LBD),LUBRICAR,Engrase a los cojinetes de los balancines a travez de las boquillas de engrase.,Actividad,TRUE,ALTA,MECANICO,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Inspeccion Trimestal,,,
605,BSOV-530,BALANCIN DE SOPORTE VERTICAL (LBD),LIMPIAR,Conjunto del balancín,Actividad,TRUE,BAJA,MECANICO,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Inspeccion Trimestal,,,
606,BSOV-531,BALANCIN DE SOPORTE VERTICAL (LBD),VERIFICAR,Ajuste de tornillería (Verificar marcas),Actividad,TRUE,MEDIA,MECANICO,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Inspeccion Trimestal,,,
607,BSOV-532,BALANCIN DE SOPORTE VERTICAL (LBD),EJECUTAR,Desarmado del conjunto de balancín. Controlar y mantener los conjuntos de poleas con báscula según las instrucciones del manual.,Actividad,TRUE,ALTA,MECANICO,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Inspeccion bianual,,,
608,BSOV-533,BALANCIN DE SOPORTE VERTICAL (LBD),VERIFICAR,"Balancín y eje visualmente en cuanto a daños, fisuras, desgaste y corrosión",Actividad,TRUE,ALTA,MECANICO,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Inspeccion bianual,,,
609,BSOV-534,BALANCIN DE SOPORTE VERTICAL (LBD),VERIFICAR,Desgaste y/o reemplazo de los casquillos de balancín.,Actividad,TRUE,ALTA,MECANICO,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Inspeccion bianual,,,
73,CBGH,CONJUNTO DE BALANCINES GUIA HORIZONTAL (LBD),,,Plan,,,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,,
610,CBGH-537,CONJUNTO DE BALANCINES GUIA HORIZONTAL (LBD),VERIFICAR,Ausencia de ruidos y vibraciones anormales en rodamientos y soporte.,Actividad,FALSE,MEDIA,OPERATIVA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Inspeccion Semanal,,,
611,CBGH-538,CONJUNTO DE BALANCINES GUIA HORIZONTAL (LBD),LIMPIAR,Excedente de lubricante si lo hubiera.,Actividad,TRUE,MEDIA,MECANICO,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Inspeccion Semanal,,,
612,CBGH-535,CONJUNTO DE BALANCINES GUIA HORIZONTAL (LBD),VERIFICAR,Visualmente la alineación de las poleas respecto al cable.,Actividad,TRUE,MEDIA,MECANICO,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Verificacion de poleas de estacion,,,
613,CBGH-536,CONJUNTO DE BALANCINES GUIA HORIZONTAL (LBD),VERIFICAR,Estado y desgaste de los bandajes (utilizar la plantilla o instrumento de mendida destinado para este fin).,Actividad,TRUE,MEDIA,MECANICO,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Inspeccion Mensual,,,
614,CBGH-540,CONJUNTO DE BALANCINES GUIA HORIZONTAL (LBD),LUBRICAR,Engrase a los cojinetes de los balancines a travez de las boquillas de engrase.,Actividad,TRUE,ALTA,MECANICO,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Inspeccion Trimestal,,,
615,CBGH-541,CONJUNTO DE BALANCINES GUIA HORIZONTAL (LBD),LIMPIAR,Conjunto del balancín,Actividad,TRUE,BAJA,MECANICO,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Inspeccion Trimestal,,,
616,CBGH-542,CONJUNTO DE BALANCINES GUIA HORIZONTAL (LBD),VERIFICAR,Ajuste de tornillería (Verificar marcas),Actividad,TRUE,MEDIA,MECANICO,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Inspeccion Trimestal,,,
617,CBGH-543,CONJUNTO DE BALANCINES GUIA HORIZONTAL (LBD),EJECUTAR,Desarmado del conjunto de balancín. Controlar y mantener los conjuntos de poleas con báscula según las instrucciones del manual.,Actividad,TRUE,ALTA,MECANICO,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Inspeccion bianual,,,
618,CBGH-544,CONJUNTO DE BALANCINES GUIA HORIZONTAL (LBD),VERIFICAR,"Balancín y eje visualmente en cuanto a daños, fisuras, desgaste y corrosión",Actividad,TRUE,ALTA,MECANICO,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Inspeccion bianual,,,
619,CBGH-545,CONJUNTO DE BALANCINES GUIA HORIZONTAL (LBD),VERIFICAR,Desgaste y/o reemplazo de los casquillos de balancín.,Actividad,TRUE,ALTA,MECANICO,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Inspeccion bianual,,,
74,AGMP,AGUJA MODO PASO (LBD),,,Plan,,,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,,
620,AGMP-546,AGUJA MODO PASO (LBD),VERIFICAR,Correcto funcionamiento y libre movimiento a posición final.,Actividad,TRUE,MEDIA,MECANICO,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Inspeccion Semanal,,,
621,AGMP-547,AGUJA MODO PASO (LBD),VERIFICAR,Libre movimiento del motor de husillo y verficación de pasadores,Actividad,TRUE,MEDIA,MECANICO,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Inspeccion Mensual,,,
622,AGMP-548,AGUJA MODO PASO (LBD),LIMPIAR,Todo el conjunto,Actividad,TRUE,BAJA,MECANICO,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Inspeccion Mensual,,,
623,AGMP-549,AGUJA MODO PASO (LBD),VERIFICAR,Conexiones de motores de husillo.,Actividad,TRUE,MEDIA,MECANICO,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Inspeccion Trimestal,,,
624,AGMP-550,AGUJA MODO PASO (LBD),LUBRICAR,Eje de la articulación principal,Actividad,TRUE,ALTA,MECANICO,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Inspeccion Trimestal,,,
625,AGMP-551,AGUJA MODO PASO (LBD),VERIFICAR,Apriete de tornillería. (Verificar marcas),Actividad,TRUE,ALTA,MECANICO,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Inspeccion Anual,,,
75,AGMC,AGUJA MODO CONTINUO (LBD),,,Plan,,,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,,
626,AGMC-552,AGUJA MODO CONTINUO (LBD),VERIFICAR,Correcto funcionamiento y libre movimiento a posición final.,Actividad,TRUE,MEDIA,MECANICO,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Inspeccion Semanal,,,
627,AGMC-553,AGUJA MODO CONTINUO (LBD),VERIFICAR,Libre movimiento del motor de husillo y verficación de pasadores,Actividad,TRUE,MEDIA,MECANICO,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Inspeccion Mensual,,,
628,AGMC-554,AGUJA MODO CONTINUO (LBD),LIMPIAR,Todo el conjunto,Actividad,TRUE,BAJA,MECANICO,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Inspeccion Mensual,,,
